loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type
7500.0,7500.0, 36 months,0.1194,248.89,B,B1,< 1 year,MORTGAGE,54878.6,Not Verified,Fully Paid,debt_consolidation,TX,7.5,0,666,670,1,9,0,33906.6,47.6,16,Individual
18000.0,18000.0, 36 months,0.0784,562.7,A,A5,10+ years,RENT,35872.94,Verified,Fully Paid,debt_consolidation,MO,22.79,0,714,718,3,13,0,29515.52,61.9,22,Individual
12000.0,12000.0, 60 months,0.2357,342.25,F,F1,2 years,MORTGAGE,34305.86,Verified,Current,home_improvement,TN,17.87,0,672,676,0,12,0,61545.38,61.4,28,Joint App
10000.0,10000.0, 36 months,0.2498,397.5,F,F3,6 years,RENT,85131.96,Not Verified,Current,debt_consolidation,IN,7.52,2,686,690,0,13,0,3884.39,13.6,17,Individual
15000.0,15000.0, 36 months,0.1727,536.79,D,D2,6 years,RENT,36388.53,Source Verified,Charged Off,debt_consolidation,NY,23.85,0,696,700,2,12,1,3770.79,75.8,24,Joint App
15000.0,15000.0, 60 months,0.0994,318.27,B,B5,6 years,MORTGAGE,12762.27,Source Verified,Fully Paid,debt_consolidation,GA,25.0,2,683,687,1,10,0,3621.85,89.3,20,Individual
7500.0,7500.0, 36 months,0.0969,240.91,A,A1,5 years,RENT,61790.95,Source Verified,Current,debt_consolidation,VA,4.88,0,736,740,1,20,0,26470.85,34.2,34,Individual
18000.0,18000.0, 60 months,0.1408,419.6,D,D2,3 years,MORTGAGE,40566.12,Verified,Charged Off,small_business,IN,34.76,0,729,733,0,9,0,14831.08,4.0,18,Individual
25000.0,25000.0, 60 months,0.1079,540.89,C,C4,6 years,MORTGAGE,88534.67,Not Verified,Default,other,MD,26.07,0,713,717,0,9,0,10768.25,68.8,25,Individual
10000.0,10000.0, 36 months,0.05,299.71,A,A3,< 1 year,RENT,35712.91,Not Verified,Fully Paid,home_improvement,IN,20.65,0,685,689,1,8,0,289.22,74.6,13,Individual
10000.0,10000.0, 36 months,0.1312,337.52,C,C3,3 years,RENT,48759.56,Source Verified,Fully Paid,vacation,CA,11.13,0,680,684,0,9,0,700.26,46.9,24,Individual
20000.0,20000.0, 36 months,0.0782,625.03,A,A5,10+ years,OWN,66301.4,Source Verified,Fully Paid,debt_consolidation,TX,12.65,0,719,723,0,10,0,9446.91,77.5,23,Individual
10000.0,10000.0, 36 months,0.2154,379.54,E,E1,10+ years,OWN,15015.16,Source Verified,Charged Off,debt_consolidation,TX,9.54,0,701,705,5,17,0,38531.02,53.2,27,Individual
5000.0,5000.0, 36 months,0.0957,160.32,B,B4,10+ years,MORTGAGE,39004.4,Not Verified,Current,car,MD,6.36,0,739,743,0,12,0,25704.43,80.5,23,Individual
15000.0,15000.0, 36 months,0.1761,539.35,D,D5,9 years,MORTGAGE,35169.29,Not Verified,Charged Off,home_improvement,IN,19.84,0,704,708,0,7,0,5002.27,100.0,17,Individual
10000.0,10000.0, 36 months,0.0956,320.59,B,B5,10+ years,MORTGAGE,41915.35,Source Verified,Fully Paid,credit_card,IN,16.45,0,705,709,5,9,0,22819.87,27.2,18,Individual
7500.0,7500.0, 36 months,0.1411,256.74,C,C1,1 year,RENT,40903.05,Not Verified,Fully Paid,other,NJ,25.36,1,695,699,2,10,0,33138.0,48.2,16,Individual
35000.0,35000.0, 36 months,0.1466,1207.48,C,C4,7 years,MORTGAGE,55672.69,Source Verified,Fully Paid,debt_consolidation,CO,22.63,0,703,707,1,10,0,9882.15,64.7,21,Individual
10000.0,10000.0, 36 months,0.086,316.15,B,B1,1 year,MORTGAGE,62265.78,Verified,Default,credit_card,CO,21.97,1,701,705,1,13,0,19495.41,88.7,21,Individual
25000.0,25000.0, 36 months,0.2457,988.3,F,F3,10+ years,MORTGAGE,81136.26,Source Verified,Late (31-120 days),debt_consolidation,NJ,18.66,2,707,711,1,15,0,16200.57,18.2,27,Individual
7500.0,7500.0, 36 months,0.1681,266.69,D,D2,7 years,MORTGAGE,75526.41,Source Verified,Fully Paid,debt_consolidation,MA,11.45,0,681,685,1,5,0,150829.11,11.6,21,Joint App
20000.0,20000.0, 36 months,0.2714,817.99,F,F3,10+ years,MORTGAGE,113626.65,Not Verified,Fully Paid,medical,VA,23.54,0,661,665,2,13,0,6772.58,41.2,21,Individual
15000.0,15000.0, 60 months,0.1978,395.57,E,E3,10+ years,MORTGAGE,99565.12,Source Verified,Current,debt_consolidation,PA,20.08,0,669,673,0,13,0,3050.11,35.6,26,Individual
5000.0,5000.0, 36 months,0.1465,172.46,C,C5,6 years,MORTGAGE,128161.71,Source Verified,Fully Paid,debt_consolidation,CO,16.88,0,738,742,0,10,0,653.02,68.1,21,Individual
20000.0,20000.0, 60 months,0.188,516.62,E,E3,7 years,MORTGAGE,116137.99,Not Verified,Late (31-120 days),debt_consolidation,TX,14.69,1,695,699,2,10,1,930.53,65.4,21,Individual
25000.0,25000.0, 36 months,0.0887,793.43,A,A4,< 1 year,RENT,40824.12,Source Verified,Current,debt_consolidation,GA,16.51,0,684,688,1,7,1,6501.73,44.0,21,Individual
7500.0,7500.0, 36 months,0.1128,246.53,B,B3,7 years,MORTGAGE,46317.67,Verified,Fully Paid,small_business,MN,10.05,1,724,728,5,12,2,4299.95,19.7,18,Joint App
18000.0,18000.0, 60 months,0.0677,354.44,A,A4,10+ years,MORTGAGE,48464.36,Not Verified,Current,debt_consolidation,VA,28.23,0,685,689,0,11,3,63973.82,9.9,26,Individual
12000.0,12000.0, 36 months,0.1138,395.0,B,B1,3 years,MORTGAGE,112804.27,Verified,Current,vacation,MD,4.29,0,694,698,1,15,0,3545.26,42.0,21,Individual
20000.0,20000.0, 36 months,0.0925,638.31,B,B5,10+ years,RENT,48595.96,Verified,Default,debt_consolidation,FL,19.26,1,672,676,3,10,0,7618.84,58.4,21,Individual
18000.0,18000.0, 36 months,0.0862,569.18,B,B4,10+ years,RENT,89414.65,Source Verified,Fully Paid,car,TN,18.48,0,718,722,1,12,0,474.21,39.3,23,Individual
5000.0,5000.0, 36 months,0.1956,184.7,D,D3,3 years,RENT,18084.74,Not Verified,Fully Paid,debt_consolidation,MA,21.42,1,672,676,2,12,0,113.05,39.7,20,Individual
7500.0,7500.0, 36 months,0.0919,239.16,B,B5,10+ years,RENT,16007.73,Source Verified,Charged Off,debt_consolidation,MD,14.15,0,644,648,0,10,0,15794.02,57.2,22,Individual
15000.0,15000.0, 36 months,0.1102,491.19,B,B5,< 1 year,MORTGAGE,122830.27,Not Verified,Current,credit_card,TX,19.75,0,745,749,1,7,0,172838.51,50.0,16,Individual
30000.0,30000.0, 36 months,0.1466,1035.02,C,C4,10+ years,MORTGAGE,76573.95,Not Verified,Fully Paid,debt_consolidation,AZ,27.31,1,685,689,0,8,0,18061.89,46.9,16,Individual
12000.0,12000.0, 60 months,0.0821,244.52,A,A4,9 years,OTHER,116014.4,Not Verified,Fully Paid,credit_card,AZ,13.13,0,675,679,1,8,0,16934.73,98.4,12,Individual
15000.0,15000.0, 60 months,0.179,380.08,D,D2,10+ years,OWN,22698.58,Source Verified,Fully Paid,home_improvement,MO,27.32,3,699,703,0,9,0,4315.96,100.0,13,Individual
5000.0,5000.0, 36 months,0.0802,156.73,A,A2,4 years,MORTGAGE,63169.3,Source Verified,Fully Paid,vacation,MA,17.15,0,643,647,0,5,0,6623.61,92.3,15,Individual
18000.0,18000.0, 60 months,0.2959,577.79,G,G5,10+ years,MORTGAGE,23361.16,Not Verified,Charged Off,house,MN,22.02,0,729,733,0,6,1,2313.6,57.0,14,Individual
15000.0,15000.0, 36 months,0.1748,538.36,D,D2,10+ years,MORTGAGE,97665.48,Source Verified,Charged Off,credit_card,MA,7.61,0,661,665,0,13,1,1574.79,37.3,28,Individual
18000.0,18000.0, 36 months,0.0994,580.31,B,B3,10+ years,RENT,58140.86,Not Verified,Current,debt_consolidation,PA,26.26,1,678,682,0,15,0,4612.78,67.3,26,Individual
25000.0,25000.0, 60 months,0.05,471.78,A,A1,6 years,MORTGAGE,53172.32,Source Verified,Fully Paid,debt_consolidation,CA,34.81,0,689,693,2,12,0,19060.7,56.6,17,Joint App
7500.0,7500.0, 36 months,0.1748,269.18,D,D5,9 years,RENT,96666.03,Not Verified,Fully Paid,debt_consolidation,WA,10.42,0,682,686,2,13,0,9754.23,81.7,21,Individual
10000.0,10000.0, 36 months,0.1854,364.25,D,D1,10+ years,MORTGAGE,54127.52,Not Verified,Charged Off,debt_consolidation,OH,16.18,0,690,694,3,12,0,4656.07,87.6,23,Individual
35000.0,35000.0, 36 months,0.1535,1219.28,D,D2,10+ years,RENT,53065.85,Source Verified,Fully Paid,moving,MA,26.84,0,726,730,0,6,0,4582.71,33.2,17,Individual
7500.0,7500.0, 36 months,0.1666,266.11,D,D4,1 year,RENT,24005.28,Not Verified,Current,debt_consolidation,TX,9.64,2,743,747,0,8,1,2361.96,62.4,14,Individual
18000.0,18000.0, 36 months,0.0764,561.05,A,A5,4 years,MORTGAGE,128580.6,Source Verified,Fully Paid,home_improvement,MO,24.62,2,753,757,0,9,0,4572.69,73.1,22,Individual
18000.0,18000.0, 60 months,0.1227,402.85,B,B2,10+ years,RENT,61243.87,Source Verified,Default,renewable_energy,GA,9.16,0,686,690,0,11,0,3162.2,7.8,23,Individual
18000.0,18000.0, 36 months,0.0526,541.6,A,A3,5 years,MORTGAGE,78579.38,Not Verified,Current,debt_consolidation,VA,12.6,0,686,690,3,11,1,7126.36,0.0,19,Individual
10000.0,10000.0, 36 months,0.2219,382.89,E,E5,10+ years,MORTGAGE,25278.72,Not Verified,Current,major_purchase,MD,23.01,0,675,679,1,9,1,18102.75,81.3,20,Individual
10000.0,10000.0, 36 months,0.1246,334.36,C,C5,1 year,RENT,131800.94,Source Verified,Fully Paid,other,NY,28.26,0,669,673,1,12,0,40611.87,51.5,22,Individual
18000.0,18000.0, 60 months,0.0899,373.56,B,B4,10+ years,RENT,62989.01,Verified,Late (31-120 days),small_business,NJ,24.8,1,674,678,2,15,2,32015.38,84.2,24,Individual
10000.0,10000.0, 36 months,0.0562,302.51,A,A5,10+ years,RENT,159831.14,Source Verified,Fully Paid,debt_consolidation,MO,20.7,0,624,628,2,12,0,10351.57,46.5,21,Individual
18000.0,18000.0, 36 months,0.0902,572.53,B,B4,8 years,MORTGAGE,103726.04,Not Verified,Fully Paid,credit_card,NC,11.58,2,739,743,1,8,0,5793.5,46.3,14,Individual
15000.0,15000.0, 60 months,0.1075,324.26,B,B2,10+ years,RENT,13103.93,Source Verified,Fully Paid,home_improvement,MN,18.47,0,638,642,0,9,3,1034.75,68.3,25,Individual
12000.0,12000.0, 36 months,0.1666,425.8,D,D3,10+ years,OWN,90460.58,Not Verified,Fully Paid,major_purchase,MN,16.39,1,746,750,1,12,1,52357.06,96.4,15,Individual
10000.0,10000.0, 36 months,0.1407,342.12,C,C3,10+ years,RENT,98189.92,Not Verified,Fully Paid,other,MO,22.28,0,694,698,1,11,3,21069.34,50.5,23,Individual
30000.0,30000.0, 36 months,0.1932,1104.5,E,E5,1 year,RENT,82593.15,Verified,Current,credit_card,GA,18.27,2,666,670,4,16,0,11132.04,70.5,25,Individual
15000.0,15000.0, 36 months,0.1405,513.0,C,C5,10+ years,RENT,63902.95,Source Verified,Charged Off,debt_consolidation,NY,14.13,0,634,638,1,6,0,9299.12,0.0,15,Individual
15000.0,15000.0, 36 months,0.0765,467.63,A,A2,6 years,MORTGAGE,50099.89,Verified,Current,vacation,PA,23.63,0,717,721,0,10,1,9288.15,44.3,20,Joint App
30000.0,30000.0, 36 months,0.1474,1036.12,D,D4,4 years,OWN,55144.16,Not Verified,Fully Paid,debt_consolidation,IN,16.07,0,641,645,2,14,0,1510.57,63.4,26,Individual
18000.0,18000.0, 36 months,0.1926,662.17,D,D3,10+ years,MORTGAGE,130139.0,Not Verified,Current,debt_consolidation,MD,12.63,0,677,681,4,14,0,3598.17,0.0,24,Individual
30000.0,30000.0, 60 months,0.1351,690.45,C,C4,8 years,RENT,135837.66,Source Verified,Current,debt_consolidation,TN,18.13,1,730,734,1,6,0,10011.0,44.7,14,Individual
7500.0,7500.0, 36 months,0.1815,271.7,D,D2,7 years,MORTGAGE,50346.89,Not Verified,Fully Paid,debt_consolidation,CA,11.94,0,692,696,1,12,0,9059.04,100.0,24,Individual
25000.0,25000.0, 36 months,0.1473,863.38,C,C3,10+ years,OWN,35012.37,Verified,Fully Paid,medical,TX,12.27,0,680,684,1,11,0,7849.35,48.5,24,Joint App
12000.0,12000.0, 60 months,0.1445,282.04,C,C3,8 years,RENT,119810.33,Not Verified,Fully Paid,home_improvement,TX,27.47,0,696,700,1,14,0,2241.79,41.3,25,Individual
20000.0,20000.0, 36 months,0.1281,672.06,C,C1,10+ years,MORTGAGE,97382.47,Verified,Fully Paid,vacation,MD,8.32,0,735,739,2,8,0,23071.79,6.4,23,Individual
25000.0,25000.0, 36 months,0.0809,784.42,A,A2,1 year,RENT,63318.91,Verified,Fully Paid,car,PA,30.61,1,682,686,3,8,0,3846.02,62.3,14,Individual
10000.0,10000.0, 36 months,0.05,299.71,A,A2,10+ years,MORTGAGE,31267.61,Not Verified,Current,debt_consolidation,WA,27.69,0,703,707,1,7,1,4281.27,48.1,17,Individual
12000.0,12000.0, 36 months,0.0759,373.77,A,A1,2 years,OWN,20347.04,Not Verified,Fully Paid,home_improvement,IN,7.84,0,726,730,3,9,0,765.79,25.6,24,Joint App
18000.0,18000.0, 36 months,0.156,629.27,C,C4,3 years,MORTGAGE,87679.89,Verified,Current,debt_consolidation,TX,19.86,0,675,679,1,16,0,8967.71,30.8,25,Joint App
5000.0,5000.0, 36 months,0.0896,158.9,B,B1,2 years,OWN,39889.86,Verified,Current,medical,NJ,20.74,1,678,682,2,12,0,22780.33,43.1,26,Individual
20000.0,20000.0, 60 months,0.1437,469.24,C,C2,3 years,MORTGAGE,39268.81,Not Verified,Fully Paid,other,NY,19.06,1,711,715,1,10,0,17447.65,21.1,21,Individual
7500.0,7500.0, 36 months,0.2366,292.91,E,E4,10+ years,OWN,71889.14,Source Verified,Fully Paid,debt_consolidation,VA,17.05,0,704,708,1,14,0,68546.75,43.9,23,Joint App
30000.0,30000.0, 36 months,0.1103,982.64,B,B3,9 years,MORTGAGE,40221.9,Source Verified,Fully Paid,debt_consolidation,NC,14.85,0,746,750,1,11,0,4897.41,9.2,21,Individual
10000.0,10000.0, 36 months,0.1454,344.4,C,C1,3 years,MORTGAGE,41245.74,Verified,Fully Paid,home_improvement,OH,11.83,1,677,681,3,8,0,6235.99,88.9,17,Individual
15000.0,15000.0, 60 months,0.1465,354.07,D,D4,3 years,MORTGAGE,36063.77,Source Verified,Fully Paid,debt_consolidation,MN,14.34,3,683,687,2,15,0,5838.36,82.4,21,Individual
7500.0,7500.0, 36 months,0.086,237.1,B,B4,1 year,RENT,82910.57,Verified,Current,credit_card,MN,27.96,0,689,693,1,6,0,475.73,20.9,15,Individual
10000.0,10000.0, 60 months,0.0914,208.29,A,A4,5 years,RENT,30817.45,Not Verified,Fully Paid,debt_consolidation,PA,30.65,0,657,661,0,9,1,9072.4,74.4,17,Individual
12000.0,12000.0, 36 months,0.1144,395.37,B,B1,5 years,RENT,22389.94,Source Verified,Fully Paid,other,CA,2.09,0,688,692,0,5,0,7735.51,35.1,15,Individual
15000.0,15000.0, 36 months,0.1074,489.26,B,B3,2 years,RENT,30631.46,Not Verified,Fully Paid,debt_consolidation,NY,18.29,3,731,735,0,13,0,60959.45,72.6,27,Individual
5000.0,5000.0, 36 months,0.206,187.36,E,E4,10+ years,OWN,128553.18,Not Verified,Late (31-120 days),other,MO,18.53,0,667,671,3,8,0,4991.67,52.4,17,Individual
25000.0,25000.0, 36 months,0.1743,896.64,D,D1,10+ years,RENT,38244.03,Source Verified,Charged Off,debt_consolidation,MA,20.1,0,713,717,0,15,0,13535.91,24.0,19,Individual
5000.0,5000.0, 36 months,0.1561,174.82,C,C2,1 year,RENT,72777.12,Verified,Fully Paid,debt_consolidation,IL,15.29,0,695,699,0,10,0,48405.2,95.3,19,Individual
20000.0,20000.0, 36 months,0.2085,751.93,E,E1,3 years,RENT,45012.37,Verified,Current,credit_card,VA,23.42,1,676,680,2,10,0,1764.32,73.6,27,Joint App
15000.0,15000.0, 60 months,0.1805,381.3,D,D1,10+ years,MORTGAGE,48131.36,Source Verified,Fully Paid,debt_consolidation,CO,27.17,2,685,689,2,17,1,112535.1,58.2,27,Individual
15000.0,15000.0, 60 months,0.1101,326.21,B,B1,10+ years,MORTGAGE,123565.9,Source Verified,Default,vacation,TN,24.53,2,683,687,3,11,1,8186.34,58.1,21,Individual
10000.0,10000.0, 36 months,0.2,371.64,E,E4,< 1 year,MORTGAGE,58450.31,Not Verified,Current,debt_consolidation,NC,0.0,1,693,697,0,9,0,21454.65,13.0,21,Individual
15000.0,15000.0, 60 months,0.1212,334.55,C,C1,10+ years,MORTGAGE,147310.49,Not Verified,Current,debt_consolidation,MD,17.75,0,696,700,0,12,0,67892.26,30.7,27,Individual
15000.0,15000.0, 36 months,0.1929,552.05,D,D2,< 1 year,MORTGAGE,173404.62,Verified,Current,debt_consolidation,FL,14.91,0,706,710,0,5,1,25136.49,39.7,9,Individual
7500.0,7500.0, 36 months,0.2186,285.87,E,E4,9 years,OTHER,140155.69,Source Verified,Fully Paid,debt_consolidation,NJ,15.17,0,748,752,3,12,0,43115.77,43.8,24,Individual
10000.0,10000.0, 36 months,0.0898,317.9,B,B2,< 1 year,RENT,39659.8,Not Verified,Current,debt_consolidation,AZ,19.42,0,640,644,1,17,0,37506.32,64.6,30,Individual
5000.0,5000.0, 36 months,0.0653,153.32,A,A5,10+ years,RENT,60210.87,Not Verified,Current,debt_consolidation,GA,6.49,0,667,671,2,12,0,20126.49,34.9,19,Individual
5000.0,5000.0, 36 months,0.0852,157.89,B,B1,5 years,MORTGAGE,131891.84,Verified,Current,debt_consolidation,MN,33.72,1,727,731,1,10,0,8178.29,40.9,18,Individual
5000.0,5000.0, 36 months,0.146,172.35,C,C4,9 years,RENT,87358.5,Not Verified,Fully Paid,credit_card,IL,36.84,0,731,735,4,14,0,3066.11,8.6,24,Individual
10000.0,10000.0, 60 months,0.1662,246.5,D,D4,2 years,MORTGAGE,108925.05,Source Verified,Current,debt_consolidation,CO,22.42,1,702,706,0,10,2,12256.64,41.7,21,Individual
18000.0,18000.0, 36 months,0.2064,674.85,E,E1,4 years,RENT,114690.74,Verified,Fully Paid,credit_card,WA,15.33,0,674,678,1,15,0,12321.91,77.5,27,Individual
10000.0,10000.0, 60 months,0.0826,204.02,A,A3,10+ years,RENT,118433.05,Source Verified,Charged Off,debt_consolidation,TN,26.11,0,627,631,2,14,0,3700.67,11.6,21,Individual
12000.0,12000.0, 36 months,0.1048,389.92,C,C3,10+ years,MORTGAGE,30072.7,Verified,Current,debt_consolidation,FL,13.51,0,709,713,5,12,0,1758.37,37.9,21,Individual
7500.0,7500.0, 36 months,0.1294,252.5,C,C2,10+ years,MORTGAGE,52532.52,Source Verified,Fully Paid,debt_consolidation,CA,29.2,0,738,742,3,10,1,2903.51,66.6,22,Individual
15000.0,15000.0, 60 months,0.0998,318.58,B,B1,10+ years,RENT,36870.4,Source Verified,Late (31-120 days),home_improvement,GA,34.88,0,748,752,3,9,0,147430.0,43.7,17,Individual
12000.0,12000.0, 36 months,0.0657,368.18,A,A1,10+ years,MORTGAGE,50662.54,Source Verified,Current,major_purchase,MN,17.81,0,681,685,0,9,0,4331.22,21.8,16,Individual
18000.0,18000.0, 60 months,0.0918,375.19,B,B5,10+ years,MORTGAGE,61694.32,Source Verified,Fully Paid,debt_consolidation,VA,24.44,1,708,712,0,16,0,2247.45,44.3,31,Individual
20000.0,20000.0, 36 months,0.2393,783.97,F,F3,< 1 year,MORTGAGE,57799.79,Not Verified,Charged Off,moving,FL,27.58,3,700,704,0,13,0,6521.98,74.4,22,Individual
15000.0,15000.0, 60 months,0.1042,321.84,B,B3,2 years,RENT,38129.45,Not Verified,Current,major_purchase,OH,15.02,2,649,653,0,13,0,3177.31,49.1,25,Individual
10000.0,10000.0, 36 months,0.1148,329.69,C,C1,< 1 year,MORTGAGE,25400.58,Source Verified,Current,debt_consolidation,MD,15.64,0,707,711,1,11,0,2253.58,55.7,25,Individual
15000.0,15000.0, 36 months,0.1724,536.6,D,D2,7 years,OWN,21758.43,Verified,Fully Paid,debt_consolidation,TX,15.45,0,630,634,0,12,0,43191.38,34.6,18,Individual
10000.0,10000.0, 36 months,0.0917,318.79,B,B1,10+ years,RENT,162612.49,Verified,Fully Paid,credit_card,NJ,23.28,0,690,694,3,4,0,9063.87,26.0,11,Individual
25000.0,25000.0, 60 months,0.2427,723.13,F,F2,8 years,OTHER,114163.39,Verified,Fully Paid,home_improvement,NY,16.54,0,728,732,0,7,1,1304.72,62.9,13,Individual
20000.0,20000.0, 36 months,0.253,798.33,F,F3,8 years,MORTGAGE,66597.72,Source Verified,Current,debt_consolidation,PA,15.29,0,738,742,2,6,0,1587.86,63.6,13,Individual
15000.0,15000.0, 60 months,0.0925,313.22,B,B5,10+ years,RENT,12000.0,Source Verified,Current,medical,AZ,34.2,0,695,699,1,18,1,2704.88,24.7,22,Individual
35000.0,35000.0, 36 months,0.149,1211.58,C,C4,10+ years,RENT,33136.7,Verified,Charged Off,debt_consolidation,IL,18.15,0,766,770,0,13,0,15021.44,76.8,22,Individual
